date,muscle,exercise,kg,rep,comment
2024-05-22,nugara,prisitraukimai,,4,
2024-05-22,nugara,prisitraukimai,,3,
2024-05-22,nugara,prisitraukimai,,2,
2024-05-22,nugara,pulldown,30,8,
2024-05-22,nugara,pulldown,30,8,
2024-05-22,nugara,pulldown,30,8,
2024-05-22,nugara,row,27.5,8,
2024-05-22,nugara,row,27.5,8,
2024-05-22,nugara,row,27.5,8,
2024-05-22,nugara,shrugs,15,8,
2024-05-22,nugara,shrugs,20,8,
2024-05-22,nugara,shrugs,20,8,
2024-05-22,bicepsas,curls - preacher,5,8,
2024-05-22,bicepsas,curls - preacher,6,8,
2024-05-22,bicepsas,curls - preacher,7,8,
2024-05-22,bicepsas,curls - palms up,3,8,
2024-05-22,bicepsas,curls - palms up,3,8,
2024-05-22,bicepsas,curls - palms up,3,8,
2024-05-25,krutine,spaudimas,37.5,8,masinos
2024-05-25,krutine,spaudimas,37.5,8,masinos
2024-05-25,krutine,spaudimas,37.5,8,masinos
2024-05-25,krutine,drugeliai,32.5,8,masinos
2024-05-25,krutine,drugeliai,35,8,masinos
2024-05-25,krutine,drugeliai,35,8,masinos
2024-05-25,krutine,inclined bench press,6,8,hanteliai
2024-05-25,krutine,inclined bench press,6,8,hanteliai
2024-05-25,krutine,inclined bench press,6,8,hanteliai
2024-05-25,peciai,spaudimas,9,8,hanteliai
2024-05-25,peciai,spaudimas,9,8,hanteliai
2024-05-25,peciai,spaudimas,9,6,sunki serija
2024-05-25,peciai,spaudimas,8,2,hanteliai
2024-05-25,peciai,sonai,6,8,hanteliai
2024-05-25,peciai,sonai,6,8,hanteliai
2024-05-25,peciai,sonai,5,8,hanteliai
2024-05-25,tricepsas,skullcrushers,2.5,8,stanga
2024-05-25,tricepsas,skullcrushers,2.5,8,stanga
2024-05-25,tricepsas,skullcrushers,2.5,8,stanga
2024-06-17,kojos,squat,10,8,maisas
2024-06-17,kojos,squat,10,8,maisas
2024-06-17,kojos,squat,10,8,maisas
2024-06-17,kojos,squat,10,8,maisas
2024-06-17,kojos,deadlift,10,8,maza stanga
2024-06-17,kojos,deadlift,10,8,maza stanga
2024-06-17,kojos,deadlift,10,8,maza stanga
2024-06-17,kojos,deadlift,10,8,maza stanga
2024-06-17,kojos,leg press,35,8,
2024-06-17,kojos,leg press,35,8,
2024-06-17,kojos,leg press,35,8,
2024-06-17,kojos,leg press,35,8,
2024-06-21,krutine,spaudimas,12,8,hantlai
2024-06-21,krutine,spaudimas,12,8,hantlai
2024-06-21,krutine,spaudimas,12,8,hantlai
2024-06-21,krutine,drugeliai,6,8,hantlai
2024-06-21,krutine,drugeliai,6,8,hantlai
2024-06-21,krutine,drugeliai,7,8,hantlai
2024-06-21,krutine,inclined bench press,6,8,hantlai
2024-06-21,krutine,inclined bench press,6,8,hantlai
2024-06-21,krutine,inclined bench press,7,8,hantlai
2024-06-21,peciai,sonai,6,8,hantlai
2024-06-21,peciai,sonai,6,8,hantlai
2024-06-21,peciai,sonai,6,8,hantlai
2024-06-21,peciai,spaudimas,8,8,hantlai
2024-06-21,peciai,spaudimas,8,8,hantlai
2024-06-21,peciai,spaudimas,7,8,hantlai
2024-06-21,tricepsas,virve,9,8,
2024-06-21,tricepsas,virve,11,8,
2024-06-21,tricepsas,virve,11,8,
